zip5,perc_unemp,perc_never_married,med_inc,perc_some_coll
01606,6.7,32.42,62556,65.64
01607,11.76,42.34,45288,51.91
01608,14.22,61.6,19846,38.1
01609,11.95,53.96,41013,61.54
01610,17.99,60.67,29994,37.29
01611,10.23,33.43,70750,56.77
01612,3.98,29.72,107681,78.45
01701,6.09,25.97,87376,72.84
01702,6.33,41.49,56747,58.19
01718,10.2,14.18,130625,96.58
01719,8.23,25.47,106597,91.29
01720,5.15,24.84,113690,88.38
01721,5.97,23.73,95296,75.25
01730,5.74,20.74,106219,84.11
01731,6.19,17.47,78047,90.27
01740,4.69,20.53,140439,80.73
01741,6.17,16.29,160000,94.92
01742,4.03,25.81,132059,81.1
01745,11.21,19.87,55789,72.08
01746,6.49,22.24,107192,82.02
01747,7.65,27.97,98902,68.46
01748,6.16,22.32,127821,83.46
01749,7.94,27.78,70192,60.83
01752,6.32,31.39,70849,59.32
01754,6.93,29.38,79441,68.5
01756,7.62,24.31,95533,76.06
01757,7.4,28.83,69422,60.71
01760,4.66,28.78,94894,80.27
01770,3.32,18.13,151944,93.7
01772,6.25,21.75,139479,84.38
01773,3.05,17.69,133690,94.31
01775,6.09,18.03,112375,85.61
01776,5.54,19.94,164337,90.86
01778,6.38,19.33,124390,88.79
01801,7.62,31.8,73293,58.87
01803,7.96,26.25,91875,69.9
01810,5.47,23.23,118324,84.19
01821,7.23,27.99,90389,59.37
01824,7.47,21.72,98833,75.3
01826,6.24,27.51,73255,56.61
01827,4.91,20.74,109211,71.91
01830,10.68,33.28,55137,54.74
01832,12.15,36.48,58276,58.82
01833,6.4,24.9,104902,73.78
01834,5,22.45,94517,65.9
01835,4.81,30.79,71875,71.52
01840,10.98,44.12,20359,29.04
01841,12.93,47.66,30676,31.88
01843,8.55,41.83,44361,41.71
01844,6.94,29.78,65855,57.21
01845,7.2,28.53,97044,77.27
01850,11.34,40.49,53673,43.09
01851,10.6,39.85,51736,44.1
01852,10.07,40.04,51616,52.57
01854,9.07,46.47,49306,45.06
01860,6.63,24.09,78279,67.71
01862,9.3,28.8,87134,53.67
01863,5.78,26.07,79962,68.4
01864,7.4,24.07,105198,69.4
01867,5.72,22.67,102719,79.33
01876,6.62,25.31,89498,61.36
01879,9.56,27.05,104888,64.99
01880,7,28.16,86328,70.23
01886,7.25,21.14,121136,83.83
01887,6.2,26.25,99028,65.06
01890,5.66,20,128199,85.42
01901,19.61,44.91,23432,49.66
01902,12.9,45.54,36568,41.07
01904,8.14,34.85,75493,53.21
01905,11.62,41.98,41941,41.38
01906,8.79,28.39,75910,54.21
01907,5.76,23.58,93229,78.82
01908,5.35,30.06,70750,71.91
01913,7.97,27.99,80062,67.44
01915,6.6,35.87,67958,69.11
01921,7.24,22.27,134263,84.45
01922,4.68,27.43,107304,75.1
01923,7.99,26.15,79183,68.93
01929,3.77,25.21,82009,71.96
01930,9.49,26.38,62059,59.47
01937,"",0,"",73.77
01938,7.68,24.87,82847,77.55
01940,3.97,24.64,103379,73.98
01944,7.6,17.22,117063,85.17
01945,5.9,22.14,105090,86.2
01949,7.88,33.73,97314,60.81
01950,6.39,24.49,83509,79.46
01951,9.51,20.24,67219,79.86
01952,7.84,29.21,73384,57.14
01960,6.82,27.45,66997,58.5
01966,5.78,20.43,68488,71.93
01969,4.61,16.35,87946,64.44
01970,10.28,40.9,56530,64.04
01982,7.61,19.58,105100,86.74
01983,3.72,20.01,117771,79.73
01984,8.29,48.18,143182,83.58
01985,7.56,28.02,112569,82.48
02019,6.93,27.19,82859,63.59
02021,7.05,26.08,90259,76.4
02025,4.73,21.02,120508,84.98
02026,6.88,28.59,82193,69.79
02030,4.42,21.72,187598,94.91
02032,6.3,29.52,73800,68.97
02035,5.41,26.98,90914,71.57
02038,6.84,26.59,97267,74.38
02043,6.33,22.21,101268,79.05
02045,8.34,30.41,73396,68.03
02047,0,0,31190,19.12
02048,7.52,30.75,94512,72.91
02050,5.75,24.06,90561,76.84
02052,4.88,25.39,124567,82.69
02053,8.17,25.25,108181,74.16
02054,7.54,19.58,92972,73.54
02056,4.95,32.28,128224,70.19
02061,6.87,21.57,114213,78.4
02062,5.8,33.34,75795,67.93
02066,5.95,22.95,95192,76.66
